Iteration,X1,X2,X3,Y1,Y2,ID, Fitness
    0,   -0.3184,    0.0335,    -3.7356,    -14.1169,    -1.6106,    14,    1.0000
    0,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    0,   0.9500,    0.1978,    -0.2051,    -17.6820,    5.2911,    36,    1.0000
    0,   -1.0310,    0.2143,    0.5817,    -16.9349,    -1.4555,    68,    1.0000
    1,   -0.3184,    0.0335,    -3.7356,    -14.1169,    -1.6106,    14,    1.0000
    1,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    1,   0.9500,    0.1978,    -0.2051,    -17.6820,    5.2911,    36,    1.0000
    1,   -1.0310,    0.2143,    0.5817,    -16.9349,    -1.4555,    68,    1.0000
    1,   -0.3292,    -0.2453,    0.9085,    -17.4961,    4.8181,    4,    1.4730
    1,   1.7012,    0.7363,    1.6587,    -13.8585,    -4.0793,    48,    1.3196
    1,   -0.4783,    -0.2275,    0.7858,    -17.4854,    3.4122,    17,    1.5505
    1,   -0.6947,    1.7138,    -1.0594,    -13.5917,    -7.6964,    27,    1.0528
    1,   -1.9789,    1.6062,    -0.8599,    -12.9529,    -8.0809,    44,    1.3845
    2,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    2,   -1.0310,    0.2143,    0.5817,    -16.9349,    -1.4555,    68,    1.0000
    2,   -0.6947,    1.7138,    -1.0594,    -13.5917,    -7.6964,    27,    1.0528
    2,   -1.9789,    1.6062,    -0.8599,    -12.9529,    -8.0809,    44,    1.3845
    2,   -1.9567,    1.6198,    -1.0506,    -12.8136,    -9.5115,    40,    2.4307
    2,   -1.0310,    -1.1237,    0.5603,    -15.1506,    -5.7629,    68,    2.5589
    2,   0.0117,    0.1978,    -0.2051,    -19.0575,    0.5791,    36,    1.8576
    2,   -0.4383,    0.0335,    -0.4910,    -18.2209,    0.1382,    14,    1.4409
    3,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    3,   -0.6947,    1.7138,    -1.0594,    -13.5917,    -7.6964,    27,    1.0528
    3,   -1.9789,    1.6062,    -0.8599,    -12.9529,    -8.0809,    44,    1.3845
    3,   -1.9567,    1.6198,    -1.0506,    -12.8136,    -9.5115,    40,    2.4307
    3,   -1.0310,    -1.1237,    0.5603,    -15.1506,    -5.7629,    68,    2.5589
    3,   0.0117,    0.1978,    -0.2051,    -19.0575,    0.5791,    36,    1.8576
    3,   -0.4383,    0.0335,    -0.4910,    -18.2209,    0.1382,    14,    1.4409
    3,   1.7012,    1.6828,    1.6587,    -12.4307,    -10.2818,    48,    1.7702
    3,   -1.0310,    -0.6099,    0.5603,    -16.3432,    -2.3696,    68,    1.5514
    3,   -1.9567,    1.6263,    -1.0506,    -12.8011,    -9.6155,    40,    1.1040
    3,   -0.5041,    -0.1997,    -0.8848,    -17.3133,    -2.1112,    17,    1.6557
    4,   -0.6947,    1.7138,    -1.1331,    -13.5389,    -7.9647,    27,    1.0000
    4,   -0.6947,    1.7138,    -1.0594,    -13.5917,    -7.6964,    27,    1.0528
    4,   -1.9789,    1.6062,    -0.8599,    -12.9529,    -8.0809,    44,    1.3845
    4,   -1.9567,    1.6198,    -1.0506,    -12.8136,    -9.5115,    40,    2.4307
    4,   -1.0310,    -1.1237,    0.5603,    -15.1506,    -5.7629,    68,    2.5589
    4,   0.0117,    0.1978,    -0.2051,    -19.0575,    0.5791,    36,    1.8576
    4,   -0.4383,    0.0335,    -0.4910,    -18.2209,    0.1382,    14,    1.4409
    4,   1.7012,    1.6828,    1.6587,    -12.4307,    -10.2818,    48,    1.7702
    4,   -1.0310,    -0.6099,    0.5603,    -16.3432,    -2.3696,    68,    1.5514
    4,   -1.9567,    1.6263,    -1.0506,    -12.8011,    -9.6155,    40,    1.1040
    4,   -0.4383,    0.0335,    -0.6910,    -17.8663,    -0.7130,    14,    1.5530
