Iteration,Position diversity
    1,   14.2413
    2,   11.8461
    3,   10.6388
    4,   10.5732
    5,   10.3001
    6,   9.3562
    7,   9.6339
    8,   9.0607
    9,   8.1482
    10,   8.2066
    11,   9.2509
    12,   7.6813
    13,   7.2077
    14,   6.8171
    15,   6.9656
    16,   7.8535
    17,   7.5946
    18,   7.1590
    19,   7.4167
    20,   7.6557
    21,   6.5180
    22,   7.3059
    23,   6.7245
    24,   6.8261
    25,   6.9758
    26,   7.0534
    27,   7.2634
    28,   6.8093
    29,   6.9733
    30,   7.0698
    31,   6.7939
    32,   7.2182
    33,   6.3637
    34,   6.0304
    35,   6.0569
    36,   5.9319
    37,   6.0858
    38,   5.9889
    39,   6.3940
    40,   6.4431
    41,   6.3834
    42,   6.1173
    43,   6.4151
    44,   5.2837
    45,   6.6421
    46,   7.3848
    47,   7.6219
    48,   6.6300
    49,   6.2590
    50,   6.1015
    51,   5.2951
    52,   6.6633
    53,   6.1452
    54,   5.6192
    55,   6.1086
    56,   5.6229
    57,   5.0050
    58,   6.5894
    59,   5.9825
    60,   5.7823
    61,   4.9690
    62,   6.4097
    63,   5.4484
    64,   6.2992
    65,   5.6148
    66,   5.2375
    67,   6.1541
    68,   6.3790
    69,   5.9457
    70,   5.6053
    71,   5.5171
    72,   5.6609
    73,   6.0483
    74,   5.4297
    75,   5.3644
    76,   6.0046
    77,   6.4662
    78,   5.9820
    79,   5.6250
    80,   5.9539
    81,   4.5052
    82,   5.2415
    83,   5.2415
