Iteration, Hypervolume (iter)
    1,   0.4556
    2,   0.6574
    3,   0.3661
    4,   0.4124
    5,   0.5138
    6,   0.5817
    7,   0.3761
    8,   0.4083
    9,   0.3995
    10,   0.4131
    11,   0.4185
    12,   0.4270
    13,   0.4387
    14,   0.4419
    15,   0.4086
    16,   0.4179
    17,   0.3923
    18,   0.3955
    19,   0.3965
    20,   0.3975
    21,   0.3998
    22,   0.4002
    23,   0.4021
    24,   0.4044
    25,   0.4057
    26,   0.3987
    27,   0.3996
    28,   0.4007
    29,   0.4011
    30,   0.4017
    31,   0.4000
    32,   0.4003
    33,   0.4006
    34,   0.4010
    35,   0.4016
    36,   0.4019
    37,   0.4019
    38,   0.4020
    39,   0.4022
    40,   0.4025
    41,   0.4027
    42,   0.4028
    43,   0.4030
    44,   0.4031
    45,   0.4034
    46,   0.4028
    47,   0.4029
    48,   0.4031
    49,   0.4011
    50,   0.4015
    51,   0.4017
    52,   0.4018
    53,   0.4019
    54,   0.4019
    55,   0.4020
    56,   0.4020
    57,   0.4021
    58,   0.4022
    59,   0.4022
    60,   0.4023
    61,   0.4026
    62,   0.4007
    63,   0.4008
    64,   0.4008
    65,   0.4009
    66,   0.4009
    67,   0.4010
    68,   0.4010
    69,   0.4011
    70,   0.4011
    71,   0.4011
    72,   0.4011
    73,   0.4012
    74,   0.4012
    75,   0.4012
    76,   0.4013
    77,   0.4013
    78,   0.4013
    79,   0.4013
    80,   0.4014
    81,   0.4014
    82,   0.4014
    83,   0.4014
    84,   0.4014
    85,   0.4014
    86,   0.4014
    87,   0.4015
    88,   0.4015
    89,   0.4015
    90,   0.4015
    91,   0.4015
    92,   0.4015
    93,   0.4016
    94,   0.4016
    95,   0.4016
    96,   0.4016
    97,   0.4017
    98,   0.4017
    99,   0.4017
